set,part,row,col,x0,y0,x1,y1,cell_left,cell_right,cell_top,cell_bottom,refined_top,refined_right
1,1,0,0,11,77,160,226,9,162,75,227,75,161
1,1,0,1,192,77,341,226,190,342,75,227,75,342
1,1,0,2,371,77,520,226,369,521,75,227,75,521
1,1,0,3,551,77,700,226,549,701,75,227,75,701
1,1,0,4,730,77,879,226,728,880,75,227,75,880
1,1,0,5,911,77,1060,226,910,1061,75,227,75,1061
1,1,0,6,1090,77,1239,226,1089,1240,75,227,75,1240
1,1,0,7,1270,77,1419,226,1268,1420,75,227,75,1420
1,1,0,8,1450,77,1599,226,1448,1600,75,227,75,1600
1,1,0,9,1630,77,1779,226,1628,1780,75,227,75,1780
1,1,1,0,12,257,161,406,9,167,255,408,255,162
1,1,1,1,192,257,341,406,190,342,255,408,255,342
1,1,1,2,371,257,520,406,369,521,255,408,255,521
1,1,1,3,551,258,700,407,549,701,255,408,256,701
1,1,1,4,730,258,879,407,728,880,255,408,256,880
1,1,1,5,911,258,1060,407,910,1061,255,408,256,1061
1,1,1,6,1090,258,1239,407,1089,1241,255,408,256,1240
1,1,1,7,1270,258,1419,407,1268,1420,255,408,256,1420
1,1,1,8,1448,258,1597,407,1446,1598,255,408,256,1598
1,1,1,9,1630,258,1779,407,1628,1780,255,408,256,1780
1,1,2,0,11,438,160,587,0,162,436,588,436,161
1,1,2,1,192,438,341,587,190,342,436,588,436,342
1,1,2,2,371,438,520,587,369,521,436,588,436,521
1,1,2,3,551,438,700,587,549,701,436,588,436,701
1,1,2,4,730,438,879,587,728,881,436,588,436,880
1,1,2,5,911,438,1060,587,909,1062,436,588,436,1061
1,1,2,6,1090,438,1239,587,1089,1241,436,588,436,1240
1,1,2,7,1270,438,1419,587,1268,1420,436,588,436,1420
1,1,2,8,1450,438,1599,587,1448,1600,436,588,436,1600
1,1,2,9,1630,438,1779,587,1628,1780,436,588,436,1780
1,1,3,0,11,619,160,768,0,162,617,769,617,161
1,1,3,1,192,619,341,768,190,342,617,769,617,342
1,1,3,2,371,619,520,768,369,521,617,769,617,521
1,1,3,3,551,619,700,768,549,703,617,769,617,701
1,1,3,4,730,619,879,768,728,881,617,769,617,880
1,1,3,5,911,619,1060,768,909,1062,617,769,617,1061
1,1,3,6,1090,619,1239,768,1089,1241,617,769,617,1240
1,1,3,7,1270,619,1419,768,1268,1420,617,769,617,1420
1,1,3,8,1450,619,1599,768,1448,1600,617,769,617,1600
1,1,3,9,1630,619,1779,768,1628,1780,617,769,617,1780
1,1,4,0,11,798,160,947,9,162,797,949,796,161
1,1,4,1,192,799,341,948,190,342,797,949,797,342
1,1,4,2,371,799,520,948,369,521,797,949,797,521
1,1,4,3,551,799,700,948,549,701,797,949,797,701
1,1,4,4,730,799,879,948,728,880,797,949,797,880
1,1,4,5,911,799,1060,948,910,1061,797,949,797,1061
1,1,4,6,1090,799,1239,948,1089,1240,797,949,797,1240
1,1,4,7,1270,799,1419,948,1268,1420,797,949,797,1420
1,1,4,8,1450,799,1599,948,1448,1600,797,949,797,1600
1,1,4,9,1630,799,1779,948,1628,1780,797,949,797,1780
1,2,0,0,11,76,160,225,9,162,74,226,74,161
1,2,0,1,192,76,341,225,190,342,74,226,74,342
1,2,0,2,371,76,520,225,369,521,74,226,74,521
1,2,0,3,551,76,700,225,549,701,74,226,74,701
1,2,0,4,730,76,879,225,728,880,74,226,74,880
1,2,0,5,911,76,1060,225,910,1061,74,226,74,1061
1,2,0,6,1090,76,1239,225,1089,1241,74,226,74,1240
1,2,0,7,1270,77,1419,226,1268,1420,74,226,75,1420
1,2,0,8,1450,77,1599,226,1448,1600,74,226,75,1600
1,2,0,9,1630,77,1779,226,1628,1780,74,226,75,1780
1,2,1,0,12,256,161,405,9,167,254,407,254,162
1,2,1,1,192,256,341,405,189,342,254,407,254,342
1,2,1,2,371,256,520,405,369,521,254,407,254,521
1,2,1,3,551,257,700,406,549,701,254,407,255,701
1,2,1,4,730,257,879,406,728,880,254,407,255,880
1,2,1,5,911,257,1060,406,909,1061,254,407,255,1061
1,2,1,6,1090,257,1239,406,1089,1241,254,407,255,1240
1,2,1,7,1270,257,1419,406,1268,1420,254,407,255,1420
1,2,1,8,1450,257,1599,406,1448,1600,254,407,255,1600
1,2,1,9,1630,257,1779,406,1628,1780,254,407,255,1780
1,2,2,0,11,437,160,586,0,162,435,587,435,161
1,2,2,1,192,437,341,586,190,342,435,587,435,342
1,2,2,2,371,437,520,586,369,521,435,587,435,521
1,2,2,3,551,437,700,586,549,701,435,587,435,701
1,2,2,4,730,437,879,586,728,881,435,587,435,880
1,2,2,5,911,437,1060,586,909,1062,435,587,435,1061
1,2,2,6,1090,437,1239,586,1089,1241,435,587,435,1240
1,2,2,7,1270,437,1419,586,1268,1420,435,587,435,1420
1,2,2,8,1450,437,1599,586,1448,1600,435,587,435,1600
1,2,2,9,1630,437,1779,586,1628,1780,435,587,435,1780
1,2,3,0,11,618,160,767,0,162,615,768,616,161
1,2,3,1,192,618,341,767,190,342,615,768,616,342
1,2,3,2,371,618,520,767,369,521,615,768,616,521
1,2,3,3,551,618,700,767,549,703,615,768,616,701
1,2,3,4,730,618,879,767,728,880,615,768,616,880
1,2,3,5,911,617,1060,766,909,1062,615,768,615,1061
1,2,3,6,1090,618,1239,767,1089,1241,615,768,616,1240
1,2,3,7,1270,618,1419,767,1268,1420,615,768,616,1420
1,2,3,8,1448,618,1597,767,1446,1598,615,768,616,1598
1,2,3,9,1630,618,1779,767,1628,1780,615,768,616,1780
1,2,4,0,11,798,160,947,8,162,796,948,796,161
1,2,4,1,192,799,341,948,190,342,796,948,797,342
1,2,4,2,371,799,520,948,369,521,796,948,797,521
1,2,4,3,551,799,700,948,549,701,796,948,797,701
1,2,4,4,730,799,879,948,728,880,796,948,797,880
1,2,4,5,911,799,1060,948,910,1061,796,948,797,1061
1,2,4,6,1090,799,1239,948,1089,1241,796,948,797,1240
1,2,4,7,1270,799,1419,948,1268,1420,796,948,797,1420
1,2,4,8,1450,799,1599,948,1448,1600,796,948,797,1600
1,2,4,9,1630,799,1779,948,1628,1780,796,948,797,1780
2,1,0,0,17,62,166,211,15,167,60,212,60,167
2,1,0,1,197,62,346,211,195,347,60,212,60,347
2,1,0,2,376,62,525,211,374,526,60,212,60,526
2,1,0,3,557,62,706,211,555,707,60,212,60,707
2,1,0,4,736,62,885,211,734,886,60,212,60,886
2,1,0,5,917,62,1066,211,915,1067,60,212,60,1067
2,1,0,6,1097,62,1246,211,1095,1247,60,212,60,1247
2,1,0,7,1277,62,1426,211,1275,1427,60,212,60,1427
2,1,0,8,1456,62,1605,211,1454,1606,60,212,60,1606
2,1,0,9,1637,62,1786,211,1635,1787,60,212,60,1787
2,1,1,0,17,242,166,391,15,167,240,392,240,167
2,1,1,1,197,242,346,391,195,347,240,392,240,347
2,1,1,2,376,242,525,391,374,526,240,392,240,526
2,1,1,3,557,242,706,391,555,707,240,392,240,707
2,1,1,4,737,242,886,391,735,887,240,392,240,887
2,1,1,5,917,242,1066,391,915,1067,240,392,240,1067
2,1,1,6,1097,242,1246,391,1095,1247,240,392,240,1247
2,1,1,7,1277,242,1426,391,1275,1427,240,392,240,1427
2,1,1,8,1456,242,1605,391,1454,1606,240,392,240,1606
2,1,1,9,1637,242,1786,391,1635,1787,240,392,240,1787
2,1,2,0,17,424,166,573,15,167,420,574,422,167
2,1,2,1,197,424,346,573,195,347,420,574,422,347
2,1,2,2,376,422,525,571,374,526,420,574,420,526
2,1,2,3,557,424,706,573,555,708,420,574,422,707
2,1,2,4,737,424,886,573,735,887,420,574,422,887
2,1,2,5,917,422,1066,571,915,1068,420,574,420,1067
2,1,2,6,1097,422,1246,571,1095,1247,420,574,420,1247
2,1,2,7,1277,422,1426,571,1275,1427,420,574,420,1427
2,1,2,8,1456,422,1605,571,1454,1606,420,574,420,1606
2,1,2,9,1637,424,1786,573,1635,1787,420,574,422,1787
2,1,3,0,17,604,166,753,15,167,602,754,602,167
